------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Fitter Resource Utilization by Entity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
; Compilation Hierarchy Node                                                      ; ALMs needed [=A-B+C] ; [A] ALMs used in final placement ; [B] Estimate of ALMs recoverable by dense packing ; [C] Estimate of ALMs unavailable ; ALMs used for memory ; Combinational ALUTs ; Dedicated Logic Registers ; I/O Registers ; Block Memory Bits ; M20Ks ; DSP Blocks ; Pins ; Virtual Pins ; Full Hierarchy Name                                                                                                                                                                                                                                         ; Entity Name     ; Library Name ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
; |cnn_process                                                                    ; 346112.6 (0.3)       ; 482797.2 (0.5)                   ; 136684.5 (0.2)                                    ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 540128 (1)          ; 475249 (0)                ; 0 (0)         ; 261360            ; 0          ; 51   ; 0            ; |cnn_process                                                                                                                                                                                                                                                ; cnn_process     ; work         ;
;    |ConvLayer:conv2_1|                                                          ; 176033.4 (0.0)       ; 245173.1 (0.0)                   ; 69139.8 (0.0)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 296246 (0)          ; 221300 (0)                ; 0 (0)         ; 84480             ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1                                                                                                                                                                                                                              ; ConvLayer       ; work         ;
;       |DotProduct:\DotProduct_loop:0:DotProduct_i|                              ; 550.0 (0.0)          ; 720.6 (0.0)                      ; 170.6 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 958 (0)             ; 789 (0)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:0:DotProduct_i                                                                                                                                                                                   ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 337.7 (337.7)        ; 421.1 (421.1)                    ; 83.4 (83.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 359 (359)           ; 771 (771)                 ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:0:DotProduct_i|MCM:MCM_i                                                                                                                                                                         ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 212.3 (212.3)        ; 299.5 (299.5)                    ; 87.2 (87.2)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 599 (599)           ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:0:DotProduct_i|MOA:MOA_i                                                                                                                                                                         ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:100:DotProduct_i|                            ; 565.1 (0.0)          ; 793.0 (0.0)                      ; 227.9 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 801 (0)             ; 850 (0)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:100:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 301.3 (301.3)        ; 419.8 (419.8)                    ; 118.5 (118.5)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 54 (54)             ; 832 (832)                 ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:100:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 263.8 (263.8)        ; 373.2 (373.2)                    ; 109.4 (109.4)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 747 (747)           ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:100:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:101:DotProduct_i|                            ; 1429.4 (0.0)         ; 2028.6 (0.0)                     ; 599.2 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2309 (0)            ; 1807 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:101:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 649.8 (649.8)        ; 915.1 (915.1)                    ; 265.2 (265.2)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 65 (65)             ; 1789 (1789)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:101:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 779.5 (779.5)        ; 1113.5 (1113.5)                  ; 334.0 (334.0)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2244 (2244)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:101:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
